key,iea_ref,row_id,name,sector,country,register_class,iea_status,dropped_from_benchmark,capacity_value,capacity_unit,stop_event,perimeter_clause,rungs_passed,unread,site_result,site_searched,site_source,site_speaker,site_date,site_precision,site_note,capacity_result,capacity_searched,capacity_source,capacity_speaker,capacity_date,capacity_precision,capacity_note,fid_result,fid_searched,fid_source,fid_speaker,fid_date,fid_precision,fid_note,funding_result,funding_searched,funding_source,funding_speaker,funding_date,funding_precision,funding_note,start_result,start_searched,start_source,start_speaker,start_date,start_precision,start_note,input_result,input_searched,input_source,input_speaker,input_date,input_precision,input_note,input_provisional,as_of
iea:6,6,,Norsk e-Fuel Mosjøen,clean,NOR,perimeter exclusion,Feasibility study,,35.92314119,ktH2Y,,DRI or other perimeter exclusion,0,false,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",false,2023-10-31
iea:9,9,,HYBRIT demo,clean,SWE,perimeter exclusion,FID/Construction,,84.74347826,ktH2Y,,DRI or other perimeter exclusion,0,false,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",false,2023-10-31
iea:14,14,,CRI project in Norway (Circlenergy),clean,NOR,none found,Feasibility study,,19.05786667,ktH2Y,,,0,false,not_searched,false,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was fail on evidence that did not exist yet",not_searched,false,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was fail on evidence that did not exist yet",not_searched,false,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was fail on evidence that did not exist yet",not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",not_searched,false,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was fail on evidence that did not exist yet",not_searched,false,sources/hydrogen_gap_search.json,eufabric search,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was fail on evidence that did not exist yet",false,2023-10-31
iea:97,97,,H21 Leeds City Gate - Teesside hydrogen,clean,GBR,perimeter exclusion,Feasibility study,,3033.369,ktH2Y,,blue,0,false,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",false,2023-10-31
iea:111,111,,"Hynet Northwest, phase 1 (Essar Stanlow refinery)",clean,GBR,perimeter exclusion,Feasibility study,,91.98,ktH2Y,,blue,0,false,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",false,2023-10-31
iea:508,508,,Iberdrola - Puertollano II (extension from Ref10),clean,ESP,unread,Feasibility study,,31.536,ktH2Y,,,0,true,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,unread,true,,,,,company source unreadable; queued for a browser pass,false,2023-10-31
iea:532,532,hoest-ptx-esbjerg,Høst - Esbjerg green ammonia plant,clean,DK,admitted,Concept,,100000,t_h2_per_year,,,0,false,not_searched,false,https://hoestptxesbjerg.dk/about-ptx/,HØST PtX Esbjerg,2026-09-09,day,"as of 2023-10-31: the document cited is dated 2026-09-09, after the cut-off, so this rung was pass on evidence that did not exist yet",not_searched,false,https://hoestptxesbjerg.dk/about-ptx/,owner,2026-09-09,day,"as of 2023-10-31: the document cited is dated 2026-09-09, after the cut-off, so this rung was pass on evidence that did not exist yet",not_searched,false,https://hoestptxesbjerg.dk/about-ptx/,owner,2026-09-09,day,"as of 2023-10-31: the document cited is dated 2026-09-09, after the cut-off, so this rung was fail on evidence that did not exist yet",not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",not_searched,false,https://hoestptxesbjerg.dk/about-ptx/,owner,2026-09-09,day,"as of 2023-10-31: the document cited is dated 2026-09-09, after the cut-off, so this rung was fail on evidence that did not exist yet",not_searched,false,https://hoestptxesbjerg.dk/about-ptx/,owner,2026-09-09,day,"as of 2023-10-31: the document cited is dated 2026-09-09, after the cut-off, so this rung was fail on evidence that did not exist yet",true,2023-10-31
iea:543,543,,Acorn H2,clean,GBR,perimeter exclusion,Feasibility study,,49.932,ktH2Y,,blue,0,false,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",false,2023-10-31
iea:562,562,,H2H Saltend,clean,GBR,perimeter exclusion,Feasibility study,,149.796,ktH2Y,,blue,0,false,not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",not_searched,false,sources/report_benchmark_gap.py,eufabric perimeter,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was not_searched on evidence that did not exist yet",false,2023-10-31
iea:595,595,engie-hynetherlands-eemshaven,"HyNetherlands, 1st phase",clean,NL,admitted,Feasibility study,,100,MW_input,,,0,false,not_searched,false,https://www.hynetherlands.nl/en/project/,"HyNetherlands (ENGIE, OCI, EEW)",2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was pass on evidence that did not exist yet",not_searched,false,https://www.hynetherlands.nl/en/project/,owner,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was pass on evidence that did not exist yet",not_searched,false,https://www.hynetherlands.nl/en/project/,owner,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was fail on evidence that did not exist yet",not_searched,false,sources/hydrogen_funder_pass.json,eufabric funder pass,2026-09-17,day,"as of 2023-10-31: the document cited is dated 2026-09-17, after the cut-off, so this rung was fail on evidence that did not exist yet",not_searched,false,https://www.hynetherlands.nl/en/project/,owner,2026-09-10,day,"as of 2023-10-31: the document cited is dated 2026-09-10, after the cut-off, so this rung was fail on evidence that did not exist yet",not_searched,false,sources/edges.json,eufabric dependency sweep,2026-09-11,day,"as of 2023-10-31: the document cited is dated 2026-09-11, after the cut-off, so this rung was fail on evidence that did not exist yet",true,2023-10-31
