row_id,row_name,sector,edge_id,supplier,customer_as_stated,site_as_stated,edge_kind,firmness,speaker,source_type,date,date_precision,quantity,match_basis,sentence,source_url,source_sha256,captured_at,archived,verdict,note
3d-dunkirk,3D — DMX demonstration in Dunkirk,steel,e0179,Air Liquide S.A.,ArcelorMittal,Dunkirk,framework_agreement,framework,supplier,supplier_press,2021-03-17,day,,site+company,edge_kind framework_agreement. Ruled en bloc on 11 September 2026: a framework agreement is `framework` by its kind and no source was re-read for it — DECISION D-14.,https://www.airliquide.com/group/press-releases-news/2021-03-17/air-liquide-and-arcelormittal-join-forces-accelerate-decarbonization-steel-production-basin-dunkirk,,,,,
3d-dunkirk,3D — DMX demonstration in Dunkirk,steel,e0253,Axens SA,ArcelorMittal France,Dunkirk,technology_licence,framework,supplier,supplier_press,2024-03-14,day,,site+company,The DMX™ process demonstration pilot has been operating in stable conditions since April 2023 to capture the CO 2 present in blast furnace gases emitted during steel production at ArcelorMittal’s Dunkirk site.,https://www.axens.net/resources-events/news/pr-successful-demonstration-dunkirk-co2-capture-dmx-process,,,,,
acc-billy-berclau,ACC Billy-Berclau Douvrin,batsol,e0251,"Shenzhen Yinghe Technology Co., Ltd. (赢合科技)",Automotive Cells Company (ACC),,equipment_order,contract,supplier,supplier_press,2026-09-20,not_after,,explicit,据悉，近期赢合科技已获得ACC新锂电设备订单，将为其13GWh的法国超级电池工厂提供前段量产设备。,https://www.yhwins.com/index.php/newsinfo204.html,250721a0222a4cf948501e2269b02bb145bb20d1fd8d1e6bedef996c3d8fbd55,2026-09-20,false,,
accsion-aalborg,ACCSION,cement,e0255,Air Liquide S.A.,Aalborg Portland A/S (Cementir),Aalborg,framework_agreement,framework,owner,owner_press,2025-06-23,day,,explicit,"In collaboration with Air Liquide – a global leader in gases, technologies, and services for industry and healthcare – a fully integrated onshore CO₂ capture value chain is being established in Northern Jutland.",https://www.aalborgportland.dk/accsion/,2551465bcd05f9c465559c38501d3ecdb004f5caf7a8f76e3b64b218c12563f6,,,,
airliquide-normandhy-port-jerome,Air Liquide Normand'Hy,clean,e0083,Siemens Energy AG,Air Liquide (Normand'Hy),,equipment_order,contract,supplier,supplier_press,2023-09-15,day,200 MW,site only,"Siemens Energy is supplying 12 electrolyzers with a total capacity of 200 megawatts to Normandy, France.","https://www.siemens-energy.com/global/en/home/press-releases/250,000-tons-less-CO2-thanks-to-renewable-hydrogen.html",,,,,
blastr-inkoo,Blastr Inkoo,steel,e0193,"Midrex Technologies, Inc.",Blastr Green Steel,Inkoo,equipment_order,contract,supplier,supplier_press,2024-07-09,day,2e+06 tonnes DRI per year,site only,"(Midrex) and Primetals have been selected to supply a hydrogen direct reduced iron (DRI) plant for Blastr Green Steel (Blastr), one of the largest industry start-ups in the Nordic region.",https://www.midrex.com/press-releases/midrex-and-primetals-selected-by-blastr/,,,,,
blastr-inkoo,Blastr Inkoo,steel,e0210,Primetals Technologies,Blastr Green Steel,Inkoo,equipment_order,contract,supplier,supplier_press,2024-07-09,day,2.5e+06 tonnes steel per year,site only,"Recently, Blastr Green Steel has chosen Primetals Technologies as its technological partner for the development of a new 2.5 million tons-per-year steel production complex to be implemented in Inkoo, close to the city of Helsinki, Finland.",https://www.primetals.com/en/news/blastr-green-steel-chooses-primetals-technologies-as-technological-partner-for-low-carbon-emissions-plant/,,,,,
brevik-ccs,Brevik CCS,cement,e0158,SLB Capturi,Heidelberg Materials,Brevik,equipment_order,contract,supplier,supplier_press,2025-05-12,day,400000 tonnes CO2 per year,site+company,"SLB Capturi achieves first 1,000 metric tons CO2 captured at Brevik carbon capture plant",https://capturi.slb.com/resources/news/2025/slb-capturi-achieves-first-1000-metric-tons-co2-captured-at-brevik-carbon-capture-plant,,,,,
brevik-ccs,Brevik CCS,cement,e0254,Northern Lights JV DA,Heidelberg Materials (Brevik CCS),Brevik,co2_storage,contract,supplier,supplier_press,2025-08-25,day,,explicit,The CO 2 is transported via ships from Heidelberg Materials’ cement factory in Brevik.,https://www.equinor.com/news/20250825-first-co2-volumes-stored-at-northern-lights,,,,,
broceni-ccs,Broceni CCS,cement,e0245,Capsol Technologies ASA,SCHWENK Building Materials Group,Brocēni,equipment_order,contract,supplier,supplier_press,2024-08-13,day,,site only,Capsol Technologies has signed a contract for the delivery of two CapsolGo ® carbon capture demonstration campaigns at SCHWENK’s Building Material Group’s Brocēni cement plant in Latvia and the Akmenės Cementas cement plant in Lithuania.,https://www.capsoltechnologies.com/SCHWENK-orders-CapsolGo-demonstration-campaigns-for-two-cement-plants,da6c4a5f182c49197cb2f56fd6d6491cd7f6858b811019dd09a7bf2b8e312b25,,,,
