row_id,row_name,sector,edge_id,supplier,customer_as_stated,site_as_stated,edge_kind,firmness,speaker,source_type,date,date_precision,quantity,match_basis,sentence,source_url,source_sha256,captured_at,archived,copy_on_file,why_reread,sentence_on_reread,what_the_re_read_found,verdict,note
3d-dunkirk,3D — DMX demonstration in Dunkirk,steel,e0179,Air Liquide S.A.,ArcelorMittal,Dunkirk,framework_agreement,framework,supplier,supplier_press,2021-03-17,day,,site+company,Air Liquide and ArcelorMittal have signed an MOU that aims to contribute significantly to the decarbonization of the Dunkirk industrial basin.,https://www.airliquide.com/group/press-releases-news/2021-03-17/air-liquide-and-arcelormittal-join-forces-accelerate-decarbonization-steel-production-basin-dunkirk,,,,re-read,filed with the D-14 en-bloc ruling as its basis; no sentence,,,,
3d-dunkirk,3D — DMX demonstration in Dunkirk,steel,e0253,Axens SA,ArcelorMittal France,Dunkirk,technology_licence,framework,supplier,supplier_press,2024-03-14,day,,site+company,The DMX™ process demonstration pilot has been operating in stable conditions since April 2023 to capture the CO 2 present in blast furnace gases emitted during steel production at ArcelorMittal’s Dunkirk site.,https://www.axens.net/resources-events/news/pr-successful-demonstration-dunkirk-co2-capture-dmx-process,,,,re-read,"ruled unclear: understated — the pilot has been operating at Dunkirk since April 2023 and the filed sentence is the result, not the relationship","(1) Coordinated by IFPEN, the “3D” project brings together other 10 partners from research and industry from 6 European countries: ArcelorMittal, Axens, TotalEnergies, Air Products, Brevik Engineering, John Cockerill, DTU, Gassco, ETHZ and Uetikon.","NO SENTENCE IN THIS SOURCE STATES AN AGREEMENT OR AN ORDER. The release reports a test result. The only sentence that states the relationship at all is the consortium footnote above: Axens is one of eleven partners in a Horizon 2020 project, which is what the edge already rests on. If the reader wants a supply sentence for this row it is not in this document and a different one has to be found.",,
blastr-inkoo,Blastr Inkoo,steel,e0193,"Midrex Technologies, Inc.",Blastr Green Steel,Inkoo,equipment_order,contract,supplier,supplier_press,2024-07-09,day,2e+06 tonnes DRI per year,site only,"(Midrex) and Primetals have been selected to supply a hydrogen direct reduced iron (DRI) plant for Blastr Green Steel (Blastr), one of the largest industry start-ups in the Nordic region.",https://www.midrex.com/press-releases/midrex-and-primetals-selected-by-blastr/,,,,re-read,"ruled unclear: ""selected to supply"" is a selection, not an order","(Midrex) and Primetals have been selected to supply a hydrogen direct reduced iron (DRI) plant for Blastr Green Steel (Blastr), one of the largest industry start-ups in the Nordic region.","THE FILED SENTENCE IS THE ONLY ONE THERE IS. The whole release is the selection; it carries no contract, no order, no value and no delivery date. The reader's doubt is the document's own state.",,
hybrit-gallivare,HYBRIT Gallivare sponge,steel,e0215,Tenova S.p.A.,LKAB,Gällivare,framework_agreement,framework,supplier,supplier_press,2024-02-12,day,1.35e+06 tonnes DRI per year,site only,"The current contract is related to basic engineering services, while future equipment supply and construction are pending waiting for prerequisites like environmental permits and Final Investment Decision (FID).",https://tenova.com/newsroom/press-releases/lkab-selects-energironr-its-demonstration-plant-northern-sweden,f4f863e36be8e8bd2d7841d581cc445de9c323b93431c35ea32dce706472a0a1,,,original,filed with the D-14 en-bloc ruling as its basis; no sentence,,,,
northern-lights,Northern Lights,ccs,e0223,Northern Lights JV DA,CCB Energy Holding,Øygarden,framework_agreement,framework,supplier,supplier_press,2022-04-22,day,,site only,The companies have now entered into a co-operation agreement to facilitate the development of infrastructure for handling and processing of local CO 2 deliveries.,https://norlights.com/news/ccb-energy-and-northern-lights-collaboration-on-co2-management-in-oygarden/,,,,re-read,filed with the D-14 en-bloc ruling as its basis; no sentence,,,,
padeswood-ccs,Padeswood CCS,cement,e0168,"Mitsubishi Heavy Industries, Ltd.",Hanson UK,Padeswood Flintshire,framework_agreement,framework,supplier,supplier_press,2022-12-15,day,800000 tonnes CO2 per year,site+company,"has been appointed by Hanson UK(Note1), a leading supplier of low carbon heavy building materials, to deliver the preliminary front-end engineering design (Pre-FEED) for a CO 2 capture plant at its Padeswood cement works located in Flintshire, Wales.",https://www.mhi.com/news/22121502.html,,,,re-read,filed with the D-14 en-bloc ruling as its basis; no sentence,,,,
padeswood-ccs,Padeswood CCS,cement,e0172,"Mitsubishi Heavy Industries, Ltd.",Heidelberg Materials UK,Padeswood Flintshire,framework_agreement,framework,supplier,supplier_press,2024-02-06,day,800000 tonnes CO2 per year,site+company,"technology is being deployed by leading global cement manufacturer Heidelberg Materials UK, for Front End Engineering Design (FEED), to further study the specifications of a CO 2 capture plant at Padeswood Cement Works in Flintshire, UK.",https://www.mhi.com/news/24020601.html,,,,re-read,filed with the D-14 en-bloc ruling as its basis; no sentence,,,,
salcos-salzgitter,SALCOS stage one,steel,e0213,Tenova S.p.A.,Salzgitter AG,Salzgitter SALCOS,framework_agreement,framework,supplier,supplier_press,2022-03-08,day,2.1e+06 tonnes DRI per year,explicit,Salzgitter AG and Tenova are stepping up their close technical cooperation and have concluded an important agreement for the realization of SALCOS,https://tenova.com/newsroom/press-releases/mou-salzgitter-and-tenova-salcosr,82fe28194d4b6bac233611ad5d10f7e5a6c1b1d0101f10aef0b3a7d7ca67c71c,,,original,filed with the D-14 en-bloc ruling as its basis; no sentence,,,,
stegra-boden,Stegra Boden,steel,e0073,thyssenkrupp nucera AG & Co. KGaA,H2 Green Steel,Boden,equipment_order,contract,supplier,supplier_press,2023-05-22,day,700 MW,site only,"In realizing this ambitious climate-friendly project, H2 Green Steel has chosen an industrial partner with a proven history in chlor-alkali and various other projects under contract with a similar or even larger production capacity in alkaline water electrolysis.",https://www.thyssenkrupp-nucera.com/newsroom/news-press-releases/thyssenkrupp-nucera-supplies-the-electrolyzers-for-h2-green-steel-to-build-one-of-the-largest-integrated-green-steel-plants-in-europe,,,,re-read,ruled unclear: the excerpt does not state the 700 MW order itself,thyssenkrupp nucera partners with H2 Green Steel in constructing the first large-scale green steel plant in Europe.,"NEITHER DOES THE REST OF THE PAGE. The headline says thyssenkrupp nucera ""Supplies the Electrolyzers"" and the body states a partnership and a capacity — ""an installed capacity of more than 700 MW"" — and never an order, a contract or an award. The 700 MW is what the modules will enable, not what was bought.",,
tkh2steel-duisburg,tkH2Steel,steel,e0191,"Midrex Technologies, Inc.",thyssenkrupp Steel Europe AG,Duisburg,equipment_order,contract,supplier,supplier_press,2023-03-13,day,2.5e+06 tonnes DRI per year,site+company,thyssenkrupp Steel Selects MIDREX Flex™ for Immediate CO2 Emissions Reduction March 2023 Share,https://www.midrex.com/press-releases/thyssenkrupp-steel-selects-midrex-flex-for-immediate-co2-emissions-reduction/,,,,re-read,"ruled unclear: ""Selects MIDREX Flex"" is a technology selection; the plant contract went to the engineering contractor","Midrex Technologies, Inc. and Paul Wurth will partner to engineer, supply, and construct a 2.5 million tons/year MIDREX Flex™ direct reduction plant for thyssenkrupp Steel Europe AG at its Duisburg, Germany, site.","THE BODY SAYS MORE THAN THE HEADLINE. The reader ruled on the headline, which is a selection; the first sentence of the release has Midrex and Paul Wurth partnering to engineer, supply and construct the plant, with its capacity and its site.",,
